Item,Price,Location,Shop
Decaf Columbia Halfwit,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew
Rwanda Halfwit,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew
Ethiopia Onyx,$4.25,"630 South 5th Street, Champaign, IL 61820",Brew
Red Symphony (Herbal),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Chamomile (Herbal),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Dragonwell (Green),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Iron Goddess (Oolong),$3.50,"630 South 5th Street, Champaign, IL 61820",Brew
Sunstone (Red),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Prairie Moonlight (Black & Green),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Hot Chocolate,$3.50,"630 South 5th Street, Champaign, IL 61820",Brew
Chai,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew
Cortado,$3.25,"630 South 5th Street, Champaign, IL 61820",Brew
Americano,$2.75,"630 South 5th Street, Champaign, IL 61820",Brew
Americola,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew
Cappuccino,$3.35,"630 South 5th Street, Champaign, IL 61820",Brew
Mocha,$4.75,"630 South 5th Street, Champaign, IL 61820",Brew
Drip Coffee,$2.50,"630 South 5th Street, Champaign, IL 61820",Brew
Macchiato,$3.00,"630 South 5th Street, Champaign, IL 61820",Brew
Espresso,$2.75,"630 South 5th Street, Champaign, IL 61820",Brew
