Item,Price
Espresso,$1.95+
Cappuccino,$2.55+
Macchiato,$2.45+
Cortado,$2.55+
Americano,$1.95+
Cafe Latte,$2.55+
Cafe Mocha,$2.95+
White Mocha,$2.95+
Vanilla Latte,$2.95+
Caramel Latte Macchiato,$3.25+
Maple Latte Macchiato,$3.75+
Spanish Latte,$3.25+
Brewed Coffee,$1.45+
Iced Coffee,$1.45+
Cafe au Lait,$1.95+
Smoothie,$5.25+
Green Tea Latte,$3.25+
Misugaru Latte,$3.95+
Red Velvet Latte,$4.65+
Iced Tea,$1.95+
Chai Tea Latte,$3.25+
Iced Tea Lemonade,$2.25+
Caffeinated Premium Whole Leaf Tea,$2.25+
Non-Caffeinated Premium Whole Leaf Tea,$2.25+
Hot Chocolate,$3.45+
Bubble Tea Latte,$3.95+
Bubble Tea Smoothie,$4.25+
Coffee Frappe,$2.95+
Mocha Frappe,$4.95+
Chocolate Frappe,$3.25+
Pure Vanilla Frappe,$3.25+
Green Tea Frappe,$3.25+
Caramel Cinnamon Misugaru Frappe,$4.95+
Cranberry Almond Misugaru Frappe,$4.95+
Plain Misugaru Frappe,$4.45+
Mojito,$4.25
Asian Shrimp Sandwich,$5.95
Ham and Egg Sandwich,$5.95
Portabella Sandwich,$5.95
Spicy Chicken Sandwich,$5.95
Teriyaki Chicken Sandwich,$5.95
Grilled Cheese,$5.95
Strawberry Cream Cheese Honey Bread,$7.95
Caramel Cinnamon Honey Bread,$7.95
Banana Walnut Honey Bread,$7.95
Macaron,$1.95+
Mini Pecan Pie,$4.95
Cake,$4.95
Tiramisu Glass,$4.95
Gelato,$1.95+
Misugaru Bingsu,$7.95+
Coffee Bingsu,$7.95+
Green Tea Bingsu,$8.95+
Strawberry Bingsu,$7.95+
Mango Bingsu,$9.25+
Oreo Bingsu,$7.95+
Acai Bowl,$7.95
Original Waffle,$5.95
Strawberry Waffle,$5.95
Caramel Banana Waffle,$5.95
Strawberry Cream Cheese Waffle,$5.95
Blueberry Waffle,$5.95
Strawberry Yogurt Waffle,$5.95
Blueberry Yogurt Waffle,$5.95
Double Chocolate Muffin,$2.95
Blueberry Muffin,$2.95
Banana Muffin,$2.95
2 LB Bag Black Velvet Coffee Beans,$19.95
1 Gallon Caffe Bene Coffee To Go,$16.95
