Item,Price,Location,Shop
Decaf Columbia Halfwit,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Rwanda Halfwit,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Ethiopia Onyx,$4.25,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Red Symphony (Herbal),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Chamomile (Herbal),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Dragonwell (Green),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Iron Goddess (Oolong),$3.50,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Sunstone (Red),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Prairie Moonlight (Black & Green),$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Hot Chocolate,$3.50,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Chai,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Cortado,$3.25,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Americano,$2.75,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Americola,$4.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Cappuccino,$3.35,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Mocha,$4.75,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Drip Coffee,$2.50,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Macchiato,$3.00,"630 South 5th Street, Champaign, IL 61820",Brew Lab
Espresso,$2.75,"630 South 5th Street, Champaign, IL 61820",Brew Lab
