Item,Price,Location,Shop
Espresso,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cappuccino,$2.55+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Macchiato,$2.45+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cortado,$2.55+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Americano,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cafe Latte,$2.55+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cafe Mocha,$2.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
White Mocha,$2.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Vanilla Latte,$2.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Caramel Latte Macchiato,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Maple Latte Macchiato,$3.75+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Spanish Latte,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Brewed Coffee,$1.45+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Iced Coffee,$1.45+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cafe au Lait,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Smoothie,$5.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Green Tea Latte,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Misugaru Latte,$3.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Red Velvet Latte,$4.65+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Iced Tea,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Chai Tea Latte,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Iced Tea Lemonade,$2.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Caffeinated Premium Whole Leaf Tea,$2.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Non-Caffeinated Premium Whole Leaf Tea,$2.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Hot Chocolate,$3.45+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Bubble Tea Latte,$3.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Bubble Tea Smoothie,$4.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Coffee Frappe,$2.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Mocha Frappe,$4.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Chocolate Frappe,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Pure Vanilla Frappe,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Green Tea Frappe,$3.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Caramel Cinnamon Misugaru Frappe,$4.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cranberry Almond Misugaru Frappe,$4.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Plain Misugaru Frappe,$4.45+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Mojito,$4.25,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Asian Shrimp Sandwich,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Ham and Egg Sandwich,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Portabella Sandwich,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Spicy Chicken Sandwich,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Teriyaki Chicken Sandwich,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Grilled Cheese,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Strawberry Cream Cheese Honey Bread,$7.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Caramel Cinnamon Honey Bread,$7.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Banana Walnut Honey Bread,$7.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Macaron,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Mini Pecan Pie,$4.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Cake,$4.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Tiramisu Glass,$4.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Gelato,$1.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Misugaru Bingsu,$7.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Coffee Bingsu,$7.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Green Tea Bingsu,$8.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Strawberry Bingsu,$7.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Mango Bingsu,$9.25+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Oreo Bingsu,$7.95+,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Acai Bowl,$7.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Original Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Strawberry Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Caramel Banana Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Strawberry Cream Cheese Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Blueberry Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Strawberry Yogurt Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Blueberry Yogurt Waffle,$5.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Double Chocolate Muffin,$2.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Blueberry Muffin,$2.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
Banana Muffin,$2.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
2 LB Bag Black Velvet Coffee Beans,$19.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
1 Gallon Caffe Bene Coffee To Go,$16.95,"700 S Gregory St, Urbana, IL 61801",Cafe Bene
