Item,Price,Location,Shop
Cold Brew Coffee,$3.40,"109 N Walnut St, Champaign, IL 61820",Cafe
Americano,$3.00,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe au Lait,$3.00,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe Latte,$3.75,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe Mocha,$4.25,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe White Mocha,$4.25,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe Caramel,$4.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Cafe Miel,$4.00,"109 N Walnut St, Champaign, IL 61820",Cafe
Brewed Coffee,$2.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Cappuccino,$3.75,"109 N Walnut St, Champaign, IL 61820",Cafe
Kopi Signature Cappuccino,$3.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Whole Bean Coffee,$12.00,"109 N Walnut St, Champaign, IL 61820",Cafe
Mocha Cold Brew,$4.65,"109 N Walnut St, Champaign, IL 61820",Cafe
Nutty Irishman,$3.75,"109 N Walnut St, Champaign, IL 61820",Cafe
Cold Pressed Horchata,$4.65,"109 N Walnut St, Champaign, IL 61820",Cafe
Caramel Cold Brew,$4.65,"109 N Walnut St, Champaign, IL 61820",Cafe
Cold Press Pumpkin Spice,$4.65,"109 N Walnut St, Champaign, IL 61820",Cafe
Campfire Mocha,$4.65,"109 N Walnut St, Champaign, IL 61820",Cafe
Pumpkin Spice Latte,$4.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Apple Cinnamon Muffin,$3.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Blueberry Scone,$2.95,"109 N Walnut St, Champaign, IL 61820",Cafe
Raspberry Almond scone,$2.95,"109 N Walnut St, Champaign, IL 61820",Cafe
Bagel D-Lux,$6.75,"109 N Walnut St, Champaign, IL 61820",Cafe
Smoked Pepper Egg Bagel,$5.95,"109 N Walnut St, Champaign, IL 61820",Cafe
Brooklyn Egg Bagel,$5.95,"109 N Walnut St, Champaign, IL 61820",Cafe
"Sausage, Egg, & Cheese",$5.95,"109 N Walnut St, Champaign, IL 61820",Cafe
Plain Bagel,$1.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Sesame Bagel,$1.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Wheat Bagel,$1.50,"109 N Walnut St, Champaign, IL 61820",Cafe
Everything Bagel,$1.50,"109 N Walnut St, Champaign, IL 61820",Cafe
