Item,Price,Location,Shop
Latte,$3.20+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Latte,$3.85+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Mocha,$3.70+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Mocha,$4.35+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cold Brew Grasshopper,$5.00+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cold Brew House,$3.50+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cold Brew-Charged Coconut Caramel,$4.85+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cold Brew-Green,$3.50+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cold Brew-Single Origin,$3.50+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Chai Latte,$3.75+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Chai Latte,$4.15+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Ginger Dragon,$3.15+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Ginger Dragon,$3.85+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Hot Tea,$2.75+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Tea,$2.45+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Hot Chocolate,$2.60+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Americano,$2.50+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Iced Americano,$3.15+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Brewed Coffee,$2.00+,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Vegan Zucchini Nut Bread,$2.65,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Pumpkin Chocolate Chip Bread,$2.65,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Banana Bread,$2.65,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Mint Brownie Bar,$3.00,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
7 Layer Bar,$3.00,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Lemon Bar,$3.00,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Peanut Butter Bar,$3.00,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Blueberry Coffee Cake,$3.00,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Raspberry Almond Scone,$2.90,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cherry Scone,$2.90,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Chocolate Chip Scone,$2.90,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
"Bacon, Cracked Pepper and White Cheddar Scone",$2.90,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Cherry Almond Biscotti,$1.75,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Chocolate Walnut Biscotti,$1.75,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Morning Glory Muffin,$2.80,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Chocolate Chip Muffin,$2.80,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
No-Fat Bran Muffin,$2.80,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Blueberry Muffin,$2.80,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Apple Cinnamon Muffin,$2.80,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Oatmeal Raisin Cookie,$1.75,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
Chocolate Chip Cookie,$1.75,"1411 S Neil St, Champaign, IL 61820",Espresso Royale
