Item,Price
Latte,$3.20+
Iced Latte,$3.85+
Mocha,$3.70+
Iced Mocha,$4.35+
Cold Brew Grasshopper,$5.00+
Cold Brew House,$3.50+
Cold Brew-Charged Coconut Caramel,$4.85+
Cold Brew-Green,$3.50+
Cold Brew-Single Origin,$3.50+
Chai Latte,$3.75+
Iced Chai Latte,$4.15+
Ginger Dragon,$3.15+
Iced Ginger Dragon,$3.85+
Hot Tea,$2.75+
Iced Tea,$2.45+
Hot Chocolate,$2.60+
Americano,$2.50+
Iced Americano,$3.15+
Brewed Coffee,$2.00+
Vegan Zucchini Nut Bread,$2.65
Pumpkin Chocolate Chip Bread,$2.65
Banana Bread,$2.65
Mint Brownie Bar,$3.00
7 Layer Bar,$3.00
Lemon Bar,$3.00
Peanut Butter Bar,$3.00
Blueberry Coffee Cake,$3.00
Raspberry Almond Scone,$2.90
Cherry Scone,$2.90
Chocolate Chip Scone,$2.90
"Bacon, Cracked Pepper and White Cheddar Scone",$2.90
Cherry Almond Biscotti,$1.75
Chocolate Walnut Biscotti,$1.75
Morning Glory Muffin,$2.80
Chocolate Chip Muffin,$2.80
No-Fat Bran Muffin,$2.80
Blueberry Muffin,$2.80
Apple Cinnamon Muffin,$2.80
Oatmeal Raisin Cookie,$1.75
Chocolate Chip Cookie,$1.75
